Employee name;Due for promotion;Will be retrenchment;Dismissal;
Abbey Schindler;0;0;No;
Abe J Macleod;0;0;No;
Abe Morales;0;0;No;
Abe X Paro;0;0;No;
Abram Q Keffer;0;0;No;
Abram S Manrique;0;0;No;
Adalberto W Creek;0;1;In progress;Adalberto W Creek
Adam B Katzer;0;0;No;
Adelaide L Harrop;1;1;No;
Adele M Burnam;0;0;No;
Adelia Abbas;0;0;No;
Adelia U Villagomez;0;0;No;
Adell W Trower;0;0;No;
Adella U Foushee;0;0;No;
Adelle E Brunner;0;0;No;
Adria M Melendrez;0;0;No;
Adriana O Medved;0;0;No;
Agnes Blow;0;0;No;
Agnes D Doud;0;0;No;
Ahmad V Lynde;0;0;No;
Ahmed C Minch;0;0;No;
Ahmed I Strope;0;0;No;
Ahmed V Lease;0;0;No;
Aiko Blossom;1;0;No;
Aileen F Hiltz;0;0;No;
Aileen Hiltz;0;0;No;
Akiko S Godby;0;0;No;
Al Fegley;0;0;No;
Alanna L Tyrell;0;0;No;
Albert Z Dunford;0;0;No;
Alda F Penning;0;0;No;
Alden Cauley;0;0;No;
Alden Y Cauley;0;0;No;
Alease Lander;0;0;No;
Alease Y Lander;0;0;No;
Alec Mcnees;0;0;No;
Aleisha H Mathew;0;0;No;
Alesia B Bear;0;0;No;
Alexis C Amaral;0;0;No;
Alexis D Bonelli;0;0;No;
Alexis Q Grose;1;1;No;
Alfonzo Knupp;0;0;No;
Alfred L Strausbaugh;0;0;No;
Alina L Prowell;0;0;No;
Alise Baltzell;0;0;No;
Alise O Baltzell;0;0;No;
Alisha D Coppock;0;0;No;
Aliza X Sammons;1;0;No;
Allen L Vachon;0;0;No;
Allene T Lepe;0;0;No;
Alline V Kushner;0;0;No;
Allyn O Farrior;0;1;In progress;Allyn O Farrior
Allyson I Ours;0;0;No;
Almeda M Dunford;0;0;No;
Alonzo W Stanford;0;0;No;
Alphonso Laffoon;0;0;No;
Alphonso U Laffoon;0;0;No;
Alysia Basil;0;0;No;
Amada J Knouse;0;0;No;
Amado C Bonet;0;0;No;
Amelia H Burbank;0;0;No;
America V Lobel;1;1;No;
Amiee Z Chaffins;1;1;No;
Analisa X Birdsell;0;0;No;
Andre Q Maxon;0;0;No;
Andrea Rhymes;0;0;No;
Andreas L Kennard;0;0;No;
Andreas T Viles;0;0;No;
Andres P Towles;0;0;No;
Andres S Garner;0;0;No;
Andrew D Hersey;0;0;No;
Andrew Detweiler;1;1;No;
Andrew P Detweiler;0;0;No;
Andria Z Reza;0;0;No;
Angel F Palomino;0;0;No;
Angel Ferebee;0;0;No;
Angela P Lorenzen;0;0;No;
Angelo B Fitzmaurice;0;0;No;
Anibal F Pieper;0;0;No;
Anisha Jasmin;0;0;No;
Annabelle E Encinas;0;0;No;
Annette Jolin;0;0;No;
Antone Polston;0;0;No;
Antone W Polston;0;0;No;
Archie Blair;0;0;No;
Arden B Fujita;0;0;No;
Arlen F Maly;0;0;No;
